,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
0,frozenset({'pastry'}),frozenset({'berries'}),0.04963521109915082,0.016265996890324125,0.001196029183112068,0.024096385542168676,1.4813961729270022,1.0,0.0003886629937226993,1.0080237315815197,0.3419330480745029,0.018484288354898338,0.0079598637711942,0.048812898653437284
1,frozenset({'berries'}),frozenset({'pastry'}),0.016265996890324125,0.04963521109915082,0.001196029183112068,0.07352941176470588,1.4813961729270022,1.0,0.0003886629937226993,1.025790565797742,0.3303343465045593,0.018484288354898338,0.0251421358878311,0.048812898653437284
2,frozenset({'bottled beer'}),frozenset({'hamburger meat'}),0.040545389307499104,0.017222820236813777,0.001076426264800861,0.026548672566371678,1.5414823008849556,1.0,0.00037812031332617253,1.0095801937567277,0.36611817501869853,0.018987341772151896,0.00948928457191598,0.04452433628318584
3,frozenset({'hamburger meat'}),frozenset({'bottled beer'}),0.017222820236813777,0.040545389307499104,0.001076426264800861,0.0625,1.5414823008849556,1.0,0.00037812031332617253,1.0234182514053343,0.35742971887550196,0.018987341772151896,0.02288238593866866,0.04452433628318584
4,frozenset({'candy'}),frozenset({'domestic eggs'}),0.016026791053701712,0.03970816887932065,0.001076426264800861,0.0671641791044776,1.6914448840136664,1.0,0.00044003173904688805,1.0294328429613684,0.4154477803438541,0.019693654266958422,0.02859131915463161,0.04713630641970868
5,frozenset({'domestic eggs'}),frozenset({'candy'}),0.03970816887932065,0.016026791053701712,0.001076426264800861,0.02710843373493976,1.6914448840136664,1.0,0.00044003173904688805,1.0113904191026966,0.42569297408007073,0.019693654266958422,0.01126213862377918,0.04713630641970868
6,frozenset({'cat food'}),frozenset({'fruit/vegetable juice'}),0.01423274727903361,0.03671809592154049,0.001076426264800861,0.07563025210084033,2.0597541948375437,1.0,0.0005538268849822605,1.0420958780485152,0.5219337269810453,0.021582733812949638,0.040395398288443754,0.052473106506446224
7,frozenset({'fruit/vegetable juice'}),frozenset({'cat food'}),0.03671809592154049,0.01423274727903361,0.001076426264800861,0.029315960912052113,2.0597541948375437,1.0,0.0005538268849822605,1.01553874693066,0.5341169329249785,0.021582733812949638,0.015300988738858008,0.052473106506446224
8,frozenset({'detergent'}),frozenset({'rolls/buns'}),0.008491807200095682,0.10190168640114819,0.001196029183112068,0.14084507042253522,1.3821662368577663,1.0,0.00033069970882890556,1.0453275453363686,0.2788661037394452,0.01095290251916758,0.04336205004698587,0.07629107981220658
9,frozenset({'rolls/buns'}),frozenset({'detergent'}),0.10190168640114819,0.008491807200095682,0.001196029183112068,0.011737089201877934,1.3821662368577663,1.0,0.00033069970882890556,1.003283824543371,0.3078705553335997,0.01095290251916758,0.003273076334970013,0.07629107981220658
10,frozenset({'napkins'}),frozenset({'pastry'}),0.02499700992704222,0.04963521109915082,0.0020332496112905156,0.08133971291866028,1.6387502161757075,1.0,0.0007925177467142063,1.0345116712514453,0.39977197944928705,0.02800658978583196,0.03336034982543652,0.061151784170173515
11,frozenset({'pastry'}),frozenset({'napkins'}),0.04963521109915082,0.02499700992704222,0.0020332496112905156,0.04096385542168675,1.6387502161757075,1.0,0.0007925177467142063,1.016648846432858,0.41013606550095494,0.02800658978583196,0.01637620156780212,0.061151784170173515
12,frozenset({'pot plants'}),frozenset({'yogurt'}),0.008372204281784475,0.07857911733046287,0.001076426264800861,0.12857142857142856,1.636203522504892,1.0,0.0004185458422279151,1.057368226014223,0.392111928597274,0.012534818941504176,0.054255674232309724,0.07113502935420743
13,frozenset({'yogurt'}),frozenset({'pot plants'}),0.07857911733046287,0.008372204281784475,0.001076426264800861,0.013698630136986299,1.636203522504892,1.0,0.0004185458422279151,1.0054004039920796,0.421988577362409,0.012534818941504176,0.0053713962821544375,0.07113502935420743
14,frozenset({'seasonal products'}),frozenset({'rolls/buns'}),0.007774189690228441,0.10190168640114819,0.001076426264800861,0.13846153846153847,1.3587757313109425,1.0,0.0002842232249641631,1.0424355425700957,0.2661121825779492,0.009911894273127752,0.04070807338885646,0.0745124593716143
15,frozenset({'rolls/buns'}),frozenset({'seasonal products'}),0.10190168640114819,0.007774189690228441,0.001076426264800861,0.010563380281690139,1.3587757313109423,1.0,0.0002842232249641631,1.0028189684269577,0.2940027522528521,0.009911894273127752,0.002811044182161434,0.0745124593716143
