,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
19,frozenset({'frankfurter'}),frozenset({'whole milk'}),0.012199497667743094,0.1304867838775266,0.0020332496112905156,0.16666666666666666,1.277268560953254,1.0,0.0004413763957053327,1.043415859346968,0.21976026153287326,0.014455782312925172,0.04160935350756533,0.09112435074854873
17,frozenset({'detergent'}),frozenset({'rolls/buns'}),0.008491807200095682,0.10190168640114819,0.001196029183112068,0.14084507042253522,1.3821662368577663,1.0,0.00033069970882890556,1.0453275453363686,0.2788661037394452,0.01095290251916758,0.04336205004698587,0.07629107981220658
29,frozenset({'seasonal products'}),frozenset({'rolls/buns'}),0.007774189690228441,0.10190168640114819,0.001076426264800861,0.13846153846153847,1.3587757313109425,1.0,0.0002842232249641631,1.0424355425700957,0.2661121825779492,0.009911894273127752,0.04070807338885646,0.0745124593716143
24,frozenset({'pot plants'}),frozenset({'yogurt'}),0.008372204281784475,0.07857911733046287,0.001076426264800861,0.12857142857142856,1.636203522504892,1.0,0.0004185458422279151,1.057368226014223,0.392111928597274,0.012534818941504176,0.054255674232309724,0.07113502935420743
26,frozenset({'processed cheese'}),frozenset({'rolls/buns'}),0.011481880157875853,0.10190168640114819,0.0014352350197344816,0.125,1.2266725352112675,1.0,0.0002652120685910505,1.0263980726844022,0.1869328493647912,0.012820512820512822,0.025719137035557327,0.06954225352112677
22,frozenset({'napkins'}),frozenset({'pastry'}),0.02499700992704222,0.04963521109915082,0.0020332496112905156,0.08133971291866028,1.6387502161757075,1.0,0.0007925177467142063,1.0345116712514453,0.39977197944928705,0.02800658978583196,0.03336034982543652,0.061151784170173515
4,frozenset({'sugar'}),frozenset({'bottled water'}),0.0193756727664155,0.06075828250209305,0.0015548379380456883,0.08024691358024691,1.3207567804024496,1.0,0.00037760533843570463,1.0211889814406774,0.24765684370514232,0.0197869101978691,0.02074932439124467,0.052918732380674634
11,frozenset({'cat food'}),frozenset({'fruit/vegetable juice'}),0.01423274727903361,0.03671809592154049,0.001076426264800861,0.07563025210084033,2.0597541948375437,1.0,0.0005538268849822605,1.0420958780485152,0.5219337269810453,0.021582733812949638,0.040395398288443754,0.052473106506446224
1,frozenset({'berries'}),frozenset({'pastry'}),0.016265996890324125,0.04963521109915082,0.001196029183112068,0.07352941176470588,1.4813961729270022,1.0,0.0003886629937226993,1.025790565797742,0.3303343465045593,0.018484288354898338,0.0251421358878311,0.048812898653437284
31,frozenset({'sliced cheese'}),frozenset({'root vegetables'}),0.014711158952278435,0.060399473747159434,0.001076426264800861,0.07317073170731707,1.211446510504709,1.0,0.00018788000587243022,1.0137795151675384,0.17714655660759077,0.014539579967689823,0.013592220952759419,0.045496256942767446
8,frozenset({'candy'}),frozenset({'domestic eggs'}),0.016026791053701712,0.03970816887932065,0.001076426264800861,0.0671641791044776,1.6914448840136664,1.0,0.00044003173904688805,1.0294328429613684,0.4154477803438541,0.019693654266958422,0.02859131915463161,0.04713630641970868
20,frozenset({'hamburger meat'}),frozenset({'pastry'}),0.017222820236813777,0.04963521109915082,0.001076426264800861,0.0625,1.2591867469879519,1.0,0.00022156794662388257,1.0137224414942392,0.20944383594986007,0.01636363636363636,0.01353668512459099,0.042093373493975905
2,frozenset({'hamburger meat'}),frozenset({'bottled beer'}),0.017222820236813777,0.040545389307499104,0.001076426264800861,0.0625,1.5414823008849556,1.0,0.00037812031332617253,1.0234182514053343,0.35742971887550196,0.018987341772151896,0.02288238593866866,0.04452433628318584
14,frozenset({'curd'}),frozenset({'whipped/sour cream'}),0.030139935414424113,0.04437268269345772,0.001794043774668102,0.05952380952380953,1.3414516750096266,1.0,0.0004566539841225517,1.0161100589082221,0.26244913059563446,0.024671052631578948,0.015854639728231725,0.04997753818508536
7,frozenset({'canned beer'}),frozenset({'brown bread'}),0.034206434637005144,0.040186580552565486,0.001794043774668102,0.05244755244755245,1.3051011488511488,1.0,0.0004194041337120286,1.0129396234758903,0.24205572755417948,0.02471169686985173,0.012774328475263053,0.0485452047952048
6,frozenset({'brown bread'}),frozenset({'canned beer'}),0.040186580552565486,0.034206434637005144,0.001794043774668102,0.044642857142857144,1.3051011488511488,1.0,0.0004194041337120286,1.010924105800518,0.24356386292834886,0.02471169686985173,0.010806059265811588,0.0485452047952048
12,frozenset({'napkins'}),frozenset({'citrus fruit'}),0.02499700992704222,0.03456524339193876,0.001076426264800861,0.043062200956937795,1.2458237446399893,1.0,0.0002123985326019373,1.008879320655424,0.20237705811798054,0.01840490797546012,0.008801172225093771,0.03710203473452426
23,frozenset({'pastry'}),frozenset({'napkins'}),0.04963521109915082,0.02499700992704222,0.0020332496112905156,0.04096385542168675,1.6387502161757075,1.0,0.0007925177467142063,1.016648846432858,0.41013606550095494,0.02800658978583196,0.01637620156780212,0.061151784170173515
15,frozenset({'whipped/sour cream'}),frozenset({'curd'}),0.04437268269345772,0.030139935414424113,0.001794043774668102,0.04043126684636119,1.3414516750096266,1.0,0.0004566539841225517,1.0107249549473278,0.26635794743429286,0.024671052631578948,0.010611150832707595,0.04997753818508536
13,frozenset({'citrus fruit'}),frozenset({'napkins'}),0.03456524339193876,0.02499700992704222,0.001076426264800861,0.031141868512110725,1.2458237446399893,1.0,0.0002123985326019373,1.0063423718967315,0.20438277722717754,0.01840490797546012,0.006302399733777939,0.03710203473452426
10,frozenset({'fruit/vegetable juice'}),frozenset({'cat food'}),0.03671809592154049,0.01423274727903361,0.001076426264800861,0.029315960912052113,2.0597541948375437,1.0,0.0005538268849822605,1.01553874693066,0.5341169329249785,0.021582733812949638,0.015300988738858008,0.052473106506446224
9,frozenset({'domestic eggs'}),frozenset({'candy'}),0.03970816887932065,0.016026791053701712,0.001076426264800861,0.02710843373493976,1.6914448840136664,1.0,0.00044003173904688805,1.0113904191026966,0.42569297408007073,0.019693654266958422,0.01126213862377918,0.04713630641970868
3,frozenset({'bottled beer'}),frozenset({'hamburger meat'}),0.040545389307499104,0.017222820236813777,0.001076426264800861,0.026548672566371678,1.5414823008849556,1.0,0.00037812031332617253,1.0095801937567277,0.36611817501869853,0.018987341772151896,0.00948928457191598,0.04452433628318584
5,frozenset({'bottled water'}),frozenset({'sugar'}),0.06075828250209305,0.0193756727664155,0.0015548379380456883,0.025590551181102362,1.3207567804024496,1.0,0.00037760533843570463,1.0063780974437595,0.2585685039524337,0.0197869101978691,0.006337675134186711,0.052918732380674634
0,frozenset({'pastry'}),frozenset({'berries'}),0.04963521109915082,0.016265996890324125,0.001196029183112068,0.024096385542168676,1.4813961729270022,1.0,0.0003886629937226993,1.0080237315815197,0.3419330480745029,0.018484288354898338,0.0079598637711942,0.048812898653437284
21,frozenset({'pastry'}),frozenset({'hamburger meat'}),0.04963521109915082,0.017222820236813777,0.001076426264800861,0.021686746987951807,1.2591867469879519,1.0,0.00022156794662388257,1.0045628807924194,0.21658696199345584,0.01636363636363636,0.004542155478430701,0.042093373493975905
30,frozenset({'root vegetables'}),frozenset({'sliced cheese'}),0.060399473747159434,0.014711158952278435,0.001076426264800861,0.01782178217821782,1.211446510504709,1.0,0.00018788000587243022,1.0031670659860874,0.1857603530210454,0.014539579967689823,0.003157067345481816,0.045496256942767446
18,frozenset({'whole milk'}),frozenset({'frankfurter'}),0.1304867838775266,0.012199497667743094,0.0020332496112905156,0.015582034830430799,1.277268560953254,1.0,0.0004413763957053327,1.003436078253717,0.24965612104539206,0.014455782312925172,0.0034243120495498127,0.09112435074854873
27,frozenset({'rolls/buns'}),frozenset({'processed cheese'}),0.10190168640114819,0.011481880157875853,0.0014352350197344816,0.014084507042253521,1.2266725352112675,1.0,0.0002652120685910505,1.0026398072684402,0.20575309628445856,0.012820512820512822,0.002632857033306919,0.06954225352112677
25,frozenset({'yogurt'}),frozenset({'pot plants'}),0.07857911733046287,0.008372204281784475,0.001076426264800861,0.013698630136986299,1.636203522504892,1.0,0.0004185458422279151,1.0054004039920796,0.421988577362409,0.012534818941504176,0.0053713962821544375,0.07113502935420743
16,frozenset({'rolls/buns'}),frozenset({'detergent'}),0.10190168640114819,0.008491807200095682,0.001196029183112068,0.011737089201877934,1.3821662368577663,1.0,0.00033069970882890556,1.003283824543371,0.3078705553335997,0.01095290251916758,0.003273076334970013,0.07629107981220658
28,frozenset({'rolls/buns'}),frozenset({'seasonal products'}),0.10190168640114819,0.007774189690228441,0.001076426264800861,0.010563380281690139,1.3587757313109423,1.0,0.0002842232249641631,1.0028189684269577,0.2940027522528521,0.009911894273127752,0.002811044182161434,0.0745124593716143
